"","primary","colname"
"12","BBN003.32235-MTG","IGF117756"
"15","BBN_7617-MTG","IGF117759"
"20","BBN_16213-MTG","IGF117764"
"25","BBN_7519-MTG","IGF117772"
"30","BBN_7540-MTG","IGF117778"
"36","BBN003.32227-MTG","IGF117784"
"41","BBN003.32228-MTG","IGF117789"
"46","BBN003.33729-MTG","IGF117794"
"52","BBN003.32205-MTG","IGF117800"
"55","BBN003.32212-MTG","IGF117803"
"59","BBN003.32185-MTG","IGF117807"
"62","BBN003.32196-MTG","IGF117810"
"64","BBN003.26941-MTG","IGF117813"
"66","BBN003.32201-MTG","IGF117815"
"72","BBN_10611-MTG","IGF117822"
"73","BBN_21005-MTG","IGF117823"
"74","BBN_18399-MTG","IGF117824"
"75","BBN_21792-MTG","IGF117825"
"76","BBN002.30035-MTG","IGF117826"
"77","BBN002.30127-MTG","IGF117827"
"78","BBN_18813-MTG","IGF117828"
"79","BBN002.26094-MTG","IGF117829"
"80","BBN_9984-MTG","IGF117830"
"81","BBN_24370-MTG","IGF117831"
"82","BBN002.29089-MTG","IGF117832"
"84","BBN002.29170-MTG","IGF117834"
"85","BBN_24578-MTG","IGF117835"
"86","BBN_10099-MTG","IGF117836"
"87","BBN_10109-MTG","IGF117837"
